,train loss,val loss,train acc,val acc,lr
88,0.4796870946884155,0.5279399156570435,0.89,0.81,0.001
89,0.4779788851737976,0.5266868472099304,0.89,0.82,0.001
90,0.47631844878196716,0.5250353813171387,0.89,0.82,0.001
91,0.47472110390663147,0.5255225896835327,0.89,0.82,0.001
92,0.47300586104393005,0.5233010649681091,0.89,0.82,0.001
93,0.4712527096271515,0.5233418941497803,0.89,0.82,0.001
94,0.4693918228149414,0.5217451453208923,0.89,0.82,0.001
95,0.4677518606185913,0.5204867720603943,0.9,0.83,0.001
96,0.46626484394073486,0.5202394127845764,0.9,0.82,0.001
97,0.4644934833049774,0.5187906622886658,0.9,0.82,0.001
98,0.46273505687713623,0.5186878442764282,0.9,0.82,0.001
99,0.4610230326652527,0.5174998044967651,0.9,0.82,0.001
100,0.4595049321651459,0.5162915587425232,0.9,0.84,0.001
101,0.4580188989639282,0.5159201622009277,0.9,0.82,0.001
102,0.45637425780296326,0.5154802799224854,0.9,0.82,0.001
103,0.4546995162963867,0.5149141550064087,0.9,0.82,0.001
104,0.4531090557575226,0.513704240322113,0.91,0.82,0.001
105,0.45157307386398315,0.5127161145210266,0.91,0.82,0.001
106,0.4500166177749634,0.5117947459220886,0.91,0.82,0.001
107,0.4485294222831726,0.5111531615257263,0.91,0.83,0.001
108,0.44706302881240845,0.5097678899765015,0.91,0.83,0.001
109,0.44566604495048523,0.5092380046844482,0.91,0.84,0.001
110,0.4443274438381195,0.5086936354637146,0.92,0.83,0.001
111,0.44295379519462585,0.5077239871025085,0.91,0.84,0.001
112,0.44156181812286377,0.5074918270111084,0.92,0.83,0.001
113,0.44005873799324036,0.5061133503913879,0.92,0.84,0.001
114,0.43863433599472046,0.5049846172332764,0.92,0.84,0.001
115,0.43726521730422974,0.5037808418273926,0.92,0.83,0.001
116,0.43600377440452576,0.5032520294189453,0.93,0.83,0.001
117,0.43482914566993713,0.5023519992828369,0.94,0.85,0.001
118,0.43372824788093567,0.5012136101722717,0.94,0.84,0.001
119,0.4326332211494446,0.4995863437652588,0.96,0.85,0.001
120,0.4308794438838959,0.49828311800956726,0.94,0.85,0.001
121,0.4294094145298004,0.4982657730579376,0.97,0.84,0.001
122,0.4285091161727905,0.4971381723880768,0.97,0.87,0.001
123,0.4273906946182251,0.4960371255874634,0.97,0.85,0.001
124,0.4259320795536041,0.494348406791687,0.97,0.87,0.001
125,0.42445772886276245,0.49372997879981995,0.97,0.86,0.001
126,0.42339029908180237,0.49374762177467346,0.97,0.87,0.001
127,0.42236563563346863,0.4919677972793579,0.97,0.87,0.001
128,0.42098820209503174,0.49102097749710083,0.97,0.87,0.001
129,0.41970595717430115,0.49115198850631714,0.97,0.86,0.001
130,0.4186614751815796,0.4911515712738037,0.97,0.87,0.001
131,0.4176098108291626,0.4898149371147156,0.97,0.89,0.001
132,0.41641348600387573,0.4875536262989044,0.97,0.88,0.001
133,0.4151911437511444,0.4870857298374176,0.97,0.89,0.001
134,0.4140561819076538,0.4877634048461914,0.97,0.87,0.001
135,0.4130638837814331,0.4857374429702759,0.97,0.87,0.001
136,0.4120669960975647,0.48520806431770325,0.97,0.89,0.001
137,0.41100940108299255,0.4827274680137634,0.97,0.89,0.001
138,0.40985485911369324,0.4833967685699463,0.97,0.9,0.001
139,0.40862682461738586,0.4829706847667694,0.97,0.89,0.001
140,0.4076167047023773,0.4805360734462738,0.97,0.89,0.001
141,0.4068288505077362,0.48131564259529114,0.97,0.89,0.001
142,0.4062197804450989,0.47880518436431885,0.97,0.9,0.001
143,0.4049501121044159,0.47983261942863464,0.97,0.9,0.001
144,0.403595894575119,0.4789421558380127,0.97,0.9,0.001
145,0.4026361405849457,0.4768810272216797,0.97,0.89,0.001
146,0.40188896656036377,0.47837308049201965,0.97,0.89,0.001
147,0.4011685252189636,0.4763857126235962,0.97,0.9,0.001
148,0.3999031186103821,0.4773193299770355,0.98,0.9,0.001
149,0.39872032403945923,0.47569918632507324,0.98,0.89,0.001
150,0.39773720502853394,0.4742553234100342,0.98,0.89,0.001
151,0.3969511389732361,0.47539564967155457,0.98,0.89,0.001
152,0.3961665630340576,0.473936527967453,0.98,0.9,0.001
153,0.3952239155769348,0.47414830327033997,0.98,0.89,0.001
154,0.3942963480949402,0.47218531370162964,0.98,0.89,0.001
155,0.39330700039863586,0.472227543592453,0.98,0.89,0.001
156,0.39239951968193054,0.4723605215549469,0.98,0.89,0.001
157,0.3915828466415405,0.47049984335899353,0.98,0.89,0.001
158,0.39089688658714294,0.4716479480266571,0.98,0.89,0.001
159,0.39049163460731506,0.4690549969673157,0.98,0.89,0.001
160,0.39000266790390015,0.4713869094848633,0.99,0.89,0.001
161,0.3890608549118042,0.46937257051467896,0.98,0.89,0.001
162,0.3875981271266937,0.469431608915329,0.99,0.9,0.001
163,0.38704031705856323,0.4712637662887573,0.99,0.89,0.001
164,0.38712969422340393,0.46801257133483887,0.98,0.89,0.001
165,0.38567647337913513,0.46837249398231506,0.99,0.89,0.001
166,0.3844345211982727,0.46866610646247864,0.99,0.89,0.001
167,0.3840976655483246,0.4664998948574066,0.99,0.9,0.001
168,0.3834044933319092,0.46735772490501404,0.99,0.89,0.001
169,0.38233011960983276,0.46627578139305115,0.99,0.89,0.001
170,0.38156962394714355,0.465180367231369,0.99,0.9,0.001
171,0.38110125064849854,0.46674686670303345,0.99,0.9,0.001
172,0.3804797828197479,0.46497100591659546,0.99,0.89,0.001
173,0.37949231266975403,0.464843213558197,0.99,0.89,0.001
174,0.37877601385116577,0.46575406193733215,0.99,0.9,0.001
