,train loss,val loss,train acc,val acc,lr
34,0.4678451120853424,0.5705212354660034,0.86,0.71,0.001
35,0.4740868806838989,0.5821945667266846,0.82,0.71,0.001
36,0.4656551480293274,0.5859944224357605,0.85,0.72,0.001
37,0.46867260336875916,0.573006808757782,0.85,0.7,0.001
38,0.4625381529331207,0.5657185912132263,0.86,0.71,0.001
39,0.4646907150745392,0.5768119692802429,0.84,0.71,0.001
40,0.4634479284286499,0.5734649300575256,0.84,0.71,0.001
41,0.46125897765159607,0.559826135635376,0.86,0.74,0.001
42,0.46073269844055176,0.5649451613426208,0.86,0.73,0.001
43,0.45512324571609497,0.5725130438804626,0.86,0.7,0.001
44,0.4560168981552124,0.5664674639701843,0.87,0.74,0.001
45,0.45268574357032776,0.5612994432449341,0.88,0.73,0.001
46,0.45380207896232605,0.5658494830131531,0.85,0.73,0.001
47,0.45043057203292847,0.567970335483551,0.88,0.71,0.001
48,0.45061442255973816,0.5611943602561951,0.88,0.75,0.001
49,0.44809210300445557,0.5575258731842041,0.88,0.75,0.001
50,0.4484541714191437,0.5612207651138306,0.87,0.74,0.001
51,0.4458169639110565,0.5649588108062744,0.88,0.72,0.001
52,0.44547662138938904,0.5623248815536499,0.88,0.73,0.001
53,0.44342997670173645,0.5583938956260681,0.88,0.73,0.001
54,0.4430830478668213,0.5595539212226868,0.88,0.73,0.001
55,0.4411916434764862,0.5622842311859131,0.88,0.74,0.001
56,0.4403820335865021,0.5606822371482849,0.88,0.74,0.001
57,0.4393131732940674,0.5558361411094666,0.88,0.73,0.001
58,0.43829646706581116,0.5537676811218262,0.88,0.72,0.001
59,0.4376799464225769,0.556496262550354,0.88,0.74,0.001
60,0.4363574683666229,0.5584260821342468,0.88,0.74,0.001
61,0.4357571005821228,0.5557841062545776,0.88,0.74,0.001
62,0.4346177279949188,0.5506799817085266,0.88,0.74,0.001
63,0.43381354212760925,0.5488344430923462,0.88,0.75,0.001
64,0.4324849843978882,0.5481951236724854,0.88,0.75,0.001
65,0.4311719536781311,0.5441975593566895,0.88,0.75,0.001
66,0.4295932352542877,0.5394260287284851,0.89,0.76,0.001
67,0.42856457829475403,0.5411173701286316,0.9,0.74,0.001
68,0.4270987808704376,0.538108229637146,0.89,0.75,0.001
69,0.42537376284599304,0.531152069568634,0.9,0.75,0.001
70,0.4250594675540924,0.5401163697242737,0.9,0.75,0.001
71,0.42577728629112244,0.530226469039917,0.89,0.76,0.001
72,0.4215804934501648,0.5211129784584045,0.9,0.78,0.001
73,0.4240367114543915,0.5414402484893799,0.89,0.77,0.001
74,0.4313431680202484,0.5276843905448914,0.88,0.78,0.001
75,0.42265403270721436,0.5172582864761353,0.89,0.79,0.001
76,0.4534703493118286,0.5272266864776611,0.86,0.78,0.001
77,0.42553138732910156,0.5440917611122131,0.88,0.76,0.001
78,0.43757984042167664,0.5196946859359741,0.88,0.77,0.001
79,0.4223564863204956,0.5152761936187744,0.9,0.79,0.001
80,0.42183929681777954,0.5295892953872681,0.89,0.76,0.001
81,0.42169052362442017,0.5339469909667969,0.9,0.76,0.001
82,0.4219239056110382,0.5234524011611938,0.9,0.78,0.001
83,0.4221106469631195,0.5257644653320312,0.89,0.77,0.001
84,0.41647884249687195,0.5318238735198975,0.89,0.76,0.001
85,0.4171214699745178,0.5273327827453613,0.89,0.77,0.001
86,0.4163597822189331,0.522660493850708,0.89,0.78,0.001
87,0.4188425838947296,0.5304449796676636,0.9,0.77,0.001
88,0.4182671308517456,0.5312032103538513,0.89,0.76,0.001
89,0.41676971316337585,0.5238102078437805,0.89,0.78,0.001
90,0.4163322150707245,0.5355914831161499,0.89,0.76,0.001
91,0.41393032670021057,0.5273025035858154,0.9,0.76,0.001
92,0.41271471977233887,0.529370129108429,0.91,0.76,0.001
93,0.41289258003234863,0.5297155976295471,0.9,0.76,0.001
94,0.41035279631614685,0.5222849249839783,0.91,0.77,0.001
95,0.41183367371559143,0.5259535908699036,0.89,0.77,0.001
96,0.4121006727218628,0.5234758257865906,0.89,0.76,0.001
97,0.40978026390075684,0.5271472334861755,0.89,0.77,0.001
98,0.4097514748573303,0.5173324346542358,0.9,0.79,0.001
99,0.41064053773880005,0.532132089138031,0.89,0.75,0.001
100,0.4159417748451233,0.5120438933372498,0.9,0.79,0.001
101,0.4277728796005249,0.5233122110366821,0.88,0.77,0.001
102,0.4132131338119507,0.5399646162986755,0.9,0.76,0.001
103,0.43008527159690857,0.5131309032440186,0.88,0.79,0.001
104,0.41768383979797363,0.5147733688354492,0.89,0.79,0.001
105,0.40956753492355347,0.5545027256011963,0.9,0.74,0.001
106,0.434291809797287,0.5177562832832336,0.87,0.79,0.001
107,0.4111050069332123,0.5087562799453735,0.9,0.78,0.001
108,0.4099832773208618,0.5105603933334351,0.9,0.78,0.001
109,0.41106507182121277,0.5244339108467102,0.9,0.78,0.001
110,0.4114532470703125,0.5118104815483093,0.9,0.79,0.001
111,0.41084274649620056,0.5064979195594788,0.9,0.8,0.001
112,0.41188621520996094,0.5299240946769714,0.9,0.77,0.001
113,0.4180959463119507,0.5265567302703857,0.89,0.78,0.001
114,0.41033387184143066,0.5079441666603088,0.9,0.8,0.001
115,0.4170498549938202,0.5102200508117676,0.89,0.79,0.001
116,0.4074472188949585,0.5324214100837708,0.9,0.76,0.001
117,0.41426223516464233,0.5167850852012634,0.89,0.77,0.001
118,0.41024425625801086,0.5119056105613708,0.9,0.78,0.001
119,0.4103661775588989,0.5173119902610779,0.89,0.8,0.001
120,0.409805029630661,0.5237160325050354,0.9,0.77,0.001
121,0.4113365113735199,0.5187647938728333,0.9,0.77,0.001
122,0.4042859673500061,0.5072585344314575,0.91,0.8,0.001
123,0.41003912687301636,0.5111563205718994,0.9,0.79,0.001
124,0.4041270315647125,0.5198314785957336,0.91,0.78,0.001
125,0.40468302369117737,0.5132381916046143,0.91,0.78,0.001
126,0.403727650642395,0.5080243945121765,0.91,0.79,0.001
127,0.4054654836654663,0.5090781450271606,0.9,0.79,0.001
128,0.4029634892940521,0.5143321752548218,0.91,0.79,0.001
129,0.40317246317863464,0.5074899792671204,0.91,0.79,0.001
130,0.4030572474002838,0.5055148005485535,0.91,0.8,0.001
131,0.4031655192375183,0.5148922204971313,0.91,0.78,0.001
132,0.40196242928504944,0.5161813497543335,0.91,0.78,0.001
133,0.4018782377243042,0.5121630430221558,0.91,0.79,0.001
134,0.40231049060821533,0.512825608253479,0.91,0.78,0.001
135,0.4024786055088043,0.5166340470314026,0.91,0.78,0.001
136,0.4010249674320221,0.5220027565956116,0.91,0.78,0.001
137,0.40230411291122437,0.5187679529190063,0.91,0.78,0.001
138,0.40142711997032166,0.5178353786468506,0.91,0.78,0.001
139,0.40180137753486633,0.5229763984680176,0.91,0.77,0.001
140,0.40114566683769226,0.5227638483047485,0.91,0.78,0.001
141,0.4015449583530426,0.5185555815696716,0.91,0.78,0.001
142,0.40073996782302856,0.5157397985458374,0.91,0.78,0.001
