dataset,accuracy,precision,recall,train time
NonInvasiveFatalECG_Thorax2,0.9419847328244275,0.9389617534295924,0.9389947927440216,1788.2698292732239
OSULeaf,0.9173553719008265,0.9167657319713305,0.900984613212874,151.6545524597168
OliveOil,0.4,0.10344827586206896,0.25,75.74633169174194
PhalangesOutlinesCorrect,0.8193473193473193,0.8166155104132977,0.797116221540153,232.87827324867249
Phoneme,0.3407172995780591,0.2512232701533795,0.23613621733492296,810.5058579444885
Plane,1.0,1.0,1.0,96.61347150802612
ProximalPhalanxOutlineAgeGroup,0.8195121951219512,0.7232221232221233,0.7676559714795008,75.83191657066345
ProximalPhalanxOutlineCorrect,0.8969072164948454,0.8911775002917492,0.8661787196853834,87.8830771446228
ProximalPhalanxTW,0.81,0.510828769946417,0.4951343959848343,65.68867921829224
RefrigerationDevices,0.5306666666666666,0.5448717948717948,0.5306666666666666,382.0639374256134
ScreenType,0.6186666666666667,0.6224654908108146,0.6186666666666666,383.15291571617126
ShapeletSim,0.5944444444444444,0.5945494994438265,0.5944444444444444,106.14619755744934
ShapesAll,0.89,0.8967741055241054,0.8900000000000001,435.3804507255554
SmallKitchenAppliances,0.7706666666666667,0.7858721348545585,0.7706666666666667,382.369503736496
SonyAIBORobotSurface,0.7304492512479202,0.7976704166024554,0.761927362307049,77.4605221748352
SonyAIBORobotSurfaceII,0.9727177334732424,0.9683882948893567,0.9747740191967198,106.65221858024597
StarLightCurves,0.9593249150072851,0.9390257977276028,0.9460721036930003,3345.450965642929
Strawberry,0.967373572593801,0.9601323632737245,0.9705630113807571,155.96537399291992
SwedishLeaf,0.9664,0.9680700781888202,0.9667274053920015,115.3142192363739
Symbols,0.9005025125628141,0.9066177498695797,0.9033469287903181,228.5676965713501
ToeSegmentation1,0.9692982456140351,0.9695652173913043,0.9708333333333333,93.62698984146118
ToeSegmentation2,0.7769230769230769,0.6986928104575163,0.7987421383647799,115.78522562980652
Trace,0.98,0.9807692307692308,0.9736842105263158,110.44051241874695
TwoLeadECG,0.9938542581211589,0.9939236111111112,0.993859649122807,87.7215006351471
Two_Patterns,0.99975,0.9997489959839357,0.9997527200791296,351.1506567001343
UWaveGestureLibraryAll,0.8489670575097711,0.8494975123637715,0.8497253859634635,1786.6569609642029
Wine,0.7777777777777778,0.7777777777777778,0.7777777777777778,56.76366472244263
WordsSynonyms,0.5971786833855799,0.5023422318270874,0.44311573449325664,166.44903540611267
Worms,0.56353591160221,0.5643796730753252,0.5601909267951662,203.6801562309265
WormsTwoClass,0.7237569060773481,0.7203849281648143,0.7037593984962407,203.28671407699585
synthetic_control,0.9866666666666667,0.9867947178871549,0.9866666666666667,67.09718775749207
uWaveGestureLibrary_X,0.8090452261306532,0.8042382651656058,0.8072059942219914,628.6334328651428
uWaveGestureLibrary_Y,0.7386934673366834,0.7373494358991848,0.7390673630385183,631.2265338897705
uWaveGestureLibrary_Z,0.7548855388051368,0.7568572892832616,0.7564691069068672,620.3513140678406
wafer,0.9970798182998053,0.9898864628679159,0.9950585684068327,507.44349694252014
yoga,0.8626666666666667,0.8618453698861803,0.863207047773314,532.5334222316742
